timestamps,feed_grade,cow_id
2023/08/22 10:32:25,S00,
2023/08/22 10:32:29,,0.0
2023/08/22 10:32:33,S00,
2023/08/22 10:32:37,,0.0
2023/08/22 10:32:41,,1.0
2023/08/22 10:32:45,S30,
2023/08/22 10:32:49,S30,
2023/08/22 10:32:53,,0.0
2023/08/22 10:32:57,,1.0
2023/08/22 10:33:01,,0.0
2023/08/22 10:33:05,S00,
2023/08/22 10:33:09,,1.0
2023/08/22 10:33:13,S05,
2023/08/22 10:33:17,,1.0
2023/08/22 10:33:21,,1.0
2023/08/22 10:33:25,S05,
2023/08/22 10:33:29,,0.0
2023/08/22 10:33:33,,2.0
2023/08/22 10:33:37,,2.0
2023/08/22 10:33:41,,0.0
2023/08/22 10:33:45,,2.0
2023/08/22 10:33:49,S30,
2023/08/22 10:33:53,,1.0
2023/08/22 10:33:57,,1.0
2023/08/22 10:34:01,,2.0
2023/08/22 10:34:05,S30,
2023/08/22 10:34:09,S05,
2023/08/22 10:34:13,S30,
2023/08/22 10:34:17,,0.0
2023/08/22 10:34:21,,1.0
2023/08/22 10:34:25,S30,
2023/08/22 10:34:29,,0.0
2023/08/22 10:34:33,,1.0
2023/08/22 10:34:37,,1.0
2023/08/22 10:34:41,S30,
2023/08/22 10:34:45,,1.0
2023/08/22 10:34:49,,1.0
2023/08/22 10:34:53,S30,
2023/08/22 10:34:57,S30,
2023/08/22 10:35:01,,2.0
2023/08/22 10:35:05,,2.0
2023/08/22 10:35:09,S00,
2023/08/22 10:35:13,,0.0
2023/08/22 10:35:17,S30,
2023/08/22 10:35:21,S00,
2023/08/22 10:35:25,,0.0
2023/08/22 10:35:29,,1.0
2023/08/22 10:35:33,,2.0
2023/08/22 10:35:37,S05,
2023/08/22 10:35:41,,1.0
2023/08/22 10:35:45,S00,
2023/08/22 10:35:49,,0.0
2023/08/22 10:35:53,,1.0
2023/08/22 10:35:57,S30,
2023/08/22 10:36:01,,1.0
2023/08/22 10:36:05,S00,
2023/08/22 10:36:09,,0.0
2023/08/22 10:36:13,,0.0
2023/08/22 10:36:17,,1.0
2023/08/22 10:36:21,S30,
2023/08/22 10:36:25,S30,
2023/08/22 10:36:29,S30,
2023/08/22 10:36:33,,1.0
2023/08/22 10:36:37,,1.0
2023/08/22 10:36:41,S00,
2023/08/22 10:36:45,S05,
2023/08/22 10:36:49,,1.0
2023/08/22 10:36:53,,0.0
2023/08/22 10:36:57,,0.0
2023/08/22 10:37:01,,1.0
2023/08/22 10:37:05,,1.0
2023/08/22 10:37:09,S30,
2023/08/22 10:37:13,S30,
2023/08/22 10:37:17,S00,
2023/08/22 10:37:21,S30,
2023/08/22 10:37:25,S05,
2023/08/22 10:37:29,,1.0
2023/08/22 10:37:33,,0.0
2023/08/22 10:37:37,,0.0
2023/08/22 10:37:41,,2.0
2023/08/22 10:37:45,S30,
2023/08/22 10:37:49,S30,
2023/08/22 10:37:53,S30,
2023/08/22 10:37:57,,1.0
2023/08/22 10:38:01,S30,
2023/08/22 10:38:05,S30,
2023/08/22 10:38:09,,0.0
2023/08/22 10:38:13,,1.0
2023/08/22 10:38:17,S00,
2023/08/22 10:38:21,,1.0
2023/08/22 10:38:25,,0.0
2023/08/22 10:38:29,,0.0
2023/08/22 10:38:33,,2.0
2023/08/22 10:38:37,S30,
2023/08/22 10:38:41,S30,
2023/08/22 10:38:45,S30,
2023/08/22 10:38:49,S30,
2023/08/22 10:38:53,S05,
2023/08/22 10:38:57,,0.0
2023/08/22 10:39:01,,1.0
2023/08/22 10:39:05,,1.0
2023/08/22 10:39:09,,0.0
2023/08/22 10:39:13,,0.0
2023/08/22 10:39:17,S30,
2023/08/22 10:39:21,,1.0
2023/08/22 10:39:25,S05,
2023/08/22 10:39:29,,0.0
2023/08/22 10:39:33,S05,
2023/08/22 10:39:37,,1.0
2023/08/22 10:39:41,,1.0
2023/08/22 10:39:45,,0.0
2023/08/22 10:39:49,S05,
2023/08/22 10:39:53,,1.0
2023/08/22 10:39:57,S30,
2023/08/22 10:40:01,,1.0
2023/08/22 10:40:05,S30,
2023/08/22 10:40:09,,1.0
2023/08/22 10:40:13,,1.0
2023/08/22 10:40:17,,1.0
2023/08/22 10:40:21,,2.0
2023/08/22 10:40:25,,0.0
2023/08/22 10:40:29,,2.0
2023/08/22 10:40:33,S05,
2023/08/22 10:40:37,S30,
2023/08/22 10:40:41,,1.0
2023/08/22 10:40:45,S00,
2023/08/22 10:40:49,,0.0
2023/08/22 10:40:53,,0.0
2023/08/22 10:40:57,S30,
2023/08/22 10:41:01,,0.0
2023/08/22 10:41:05,,0.0
2023/08/22 10:41:09,,1.0
2023/08/22 10:41:13,,0.0
2023/08/22 10:41:17,,0.0
2023/08/22 10:41:21,S05,
2023/08/22 10:41:25,,1.0
2023/08/22 10:41:29,S30,
2023/08/22 10:41:33,,1.0
2023/08/22 10:41:37,,0.0
2023/08/22 10:41:41,S30,
2023/08/22 10:41:45,,0.0
2023/08/22 10:41:49,,0.0
2023/08/22 10:41:53,,1.0
2023/08/22 10:41:57,S05,
2023/08/22 10:42:01,,1.0
2023/08/22 10:42:05,,1.0
2023/08/22 10:42:09,S00,
2023/08/22 10:42:13,S30,
2023/08/22 10:42:17,,1.0
2023/08/22 10:42:21,S30,
2023/08/22 10:42:25,S00,
2023/08/22 10:42:29,,2.0
2023/08/22 10:42:33,,0.0
2023/08/22 10:42:37,S00,
2023/08/22 10:42:41,,1.0
2023/08/22 10:42:45,S30,
2023/08/22 10:42:49,S05,
2023/08/22 10:42:53,S30,
2023/08/22 10:42:57,S30,
2023/08/22 10:43:01,,0.0
2023/08/22 10:43:05,,0.0
2023/08/22 10:43:09,S00,
2023/08/22 10:43:13,,1.0
2023/08/22 10:43:17,S05,
2023/08/22 10:43:21,S00,
2023/08/22 10:43:25,S30,
2023/08/22 10:43:29,,1.0
2023/08/22 10:43:33,S00,
2023/08/22 10:43:37,S00,
2023/08/22 10:43:41,,0.0
2023/08/22 10:43:45,S05,
2023/08/22 10:43:49,,0.0
2023/08/22 10:43:53,,0.0
2023/08/22 10:43:57,,1.0
2023/08/22 10:44:01,S30,
2023/08/22 10:44:05,S05,
2023/08/22 10:44:09,S30,
2023/08/22 10:44:13,,2.0
2023/08/22 10:44:17,S05,
2023/08/22 10:44:21,,1.0
